Beraterparticipant	item	condition	sentence	completion	time	first_word	stemnoun	word	word_CORRECTED
13	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm.	25909	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
17	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm	8505	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
21	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Schirm	7298	Schirm	Schirm	Schirm	Schirm
25	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenhut	10118	Sonnenhut	Hut	Sonnenhut	Sonnenhut
29	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm	10085	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
33	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Schirm.	10392	Schirm	Schirm	Schirm	Schirm
37	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm, der viel Schatten spendet.	17145	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
41	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Schirm.	11595	Schirm	Schirm	Schirm	Schirm
45	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Schirm.	4706	Schirm	Schirm	Schirm	Schirm
53	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm	18306	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
57	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm.	10192	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
5	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	sonnenschrim	12789	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
61	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Schirm	9318	Schirm	Schirm	Schirm	Schirm
65	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm	12583	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
69	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm.	17713	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
73	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm für den nächsten Sommer.	22985	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
77	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Pfahl und Segeltuch	21390	Pfahl	Pfahl	Pfahl	Pfahl
81	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm	13168	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
9	1	Constraining_a	Auf Annetts Terrasse schien im Sommer zu viel Sonne, um noch draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm.	11618	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
11	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm, um keinen Sonnenbrand zu bekommen	16695	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
15	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Hängesessel für den Garten	15361	Hängesessel	Sessel	Hängesessel	Hängesessel
19	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Terassentisch mit schönen Stühlen.	16257	Terassentisch	Tisch	Terassentisch	Terassentisch
1	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm	6566	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
